Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Month_Total
Feni,1995,10,32.5,24.3,0,0,0,0,0,7,12,4,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,33
Feni,1995,11,28.9,20.8,7,8,0,0,0,0,0,0,7,73,53,8,0,0,0,0,0,0,7,0,0,0,0,0,6,53,0,0,0,0,,222
Feni,1995,12,27.4,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishurdi,1995,1,23.9,8.8,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ishurdi,1995,2,27,12.8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,15,0,0,0,0,,,,24
Ishurdi,1995,3,33.1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,20
Ishurdi,1995,4,39.1,23.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Ishurdi,1995,5,37,25.5,0,0,0,0,0,0,0,0,9,0,0,0,27,0,0,18,5,1,0,0,0,45,0,0,0,0,0,0,0,0,0,105
Ishurdi,1995,6,33.4,26.5,0,0,0,0,0,14,0,4,0,0,2,39,0,0,0,0,6,20,53,28,10,0,2,14,6,15,0,1,1,0,,215
Ishurdi,1995,7,31.7,25.9,4,3,2,3,45,19,16,34,0,3,6,0,0,3,0,2,4,6,16,24,4,4,2,7,8,0,0,4,3,0,2,224
Ishurdi,1995,8,31.9,26.1,0,24,0,55,32,0,5,0,14,11,0,6,68,5,23,1,2,12,6,1,9,2,27,2,0,0,0,0,0,2,0,307
Ishurdi,1995,9,32,25.8,0,0,35,18,15,24,1,0,0,0,0,0,0,0,0,0,7,28,7,22,0,5,1,38,11,1,17,16,93,6,,345
Ishurdi,1995,10,32.2,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
Ishurdi,1995,11,28.8,18,5,0,0,0,0,0,0,0,0,57,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,,70
Ishurdi,1995,12,26,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
Jessore,1995,1,24.5,10.1,0,0,0,0,0,0,0,0,1,12,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Jessore,1995,2,27.9,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,7,0,0,0,2,,,,25
Jessore,1995,3,33.4,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18
Jessore,1995,4,37.9,24.3,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
Jessore,1995,5,36.7,26.9,0,0,0,0,0,0,0,0,0,2,1,0,0,4,22,13,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88
